FED,Mode,day,zthour,Binary_Pellets
FED012,empty,-5,5,6.0
FED012,empty,-5,6,9.0
FED012,empty,-5,7,3.0
FED012,empty,-5,8,5.0
FED012,empty,-5,9,7.0
FED012,empty,-5,10,7.0
FED012,empty,-5,11,10.0
FED012,empty,-5,12,20.0
FED012,empty,-5,13,15.0
FED012,empty,-5,14,26.0
FED012,empty,-5,15,17.0
FED012,empty,-5,16,23.0
FED012,empty,-5,17,27.0
FED012,empty,-5,18,13.0
FED012,empty,-5,19,7.0
FED012,empty,-5,20,18.0
FED012,empty,-5,21,22.0
FED012,empty,-5,22,8.0
FED012,empty,-5,23,2.0
FED012,empty,-4,0,6.0
FED012,empty,-4,1,5.0
FED012,empty,-4,2,2.0
FED012,empty,-4,3,13.0
FED012,empty,-4,4,1.0
FED012,empty,-4,5,2.0
FED012,empty,-4,6,8.0
FED012,empty,-4,7,10.0
FED012,empty,-4,8,1.0
FED012,empty,-4,9,4.0
FED012,empty,-4,10,12.0
FED012,empty,-4,11,10.0
FED012,empty,-4,12,17.0
FED012,empty,-4,13,11.0
FED012,empty,-4,14,15.0
FED012,empty,-4,15,14.0
FED012,empty,-4,16,29.0
FED012,empty,-4,17,16.0
FED012,empty,-4,18,10.0
FED012,empty,-4,19,10.0
FED012,empty,-4,20,12.0
FED012,empty,-4,21,13.0
FED012,empty,-4,22,11.0
FED012,empty,-4,23,5.0
FED012,empty,-3,0,8.0
FED012,empty,-3,2,3.0
FED012,empty,-3,3,4.0
FED012,empty,-3,4,1.0
FED012,empty,-3,6,3.0
FED012,empty,-3,7,6.0
FED012,empty,-3,8,4.0
FED012,empty,-3,9,4.0
FED012,empty,-3,10,4.0
FED012,empty,-3,11,9.0
FED012,empty,-3,12,18.0
FED012,empty,-3,13,11.0
FED012,empty,-3,14,3.0
FED012,empty,-3,15,14.0
FED012,empty,-3,16,15.0
FED012,empty,-3,17,14.0
FED012,empty,-3,18,14.0
FED012,empty,-3,19,7.0
FED012,empty,-3,20,20.0
FED012,empty,-3,21,13.0
FED012,empty,-3,22,7.0
FED012,empty,-3,23,9.0
FED012,empty,-2,0,1.0
FED012,empty,-2,2,10.0
FED012,empty,-2,3,7.0
FED012,empty,-2,4,2.0
FED012,empty,-2,5,3.0
FED012,empty,-2,6,5.0
FED012,empty,-2,7,4.0
FED012,empty,-2,8,6.0
FED012,empty,-2,9,12.0
FED012,empty,-2,10,5.0
FED012,empty,-2,11,9.0
FED012,empty,-2,12,14.0
FED012,empty,-2,13,11.0
FED012,empty,-2,14,17.0
FED012,empty,-2,15,9.0
FED012,empty,-2,16,20.0
FED012,empty,-2,17,13.0
FED012,empty,-2,18,20.0
FED012,empty,-2,19,2.0
FED012,empty,-2,20,14.0
FED012,empty,-2,21,2.0
FED012,empty,-2,22,11.0
FED012,empty,-2,23,10.0
FED014,empty,-5,0,13.0
FED014,empty,-5,1,1.0
FED014,empty,-5,2,1.0
FED014,empty,-5,3,6.0
FED014,empty,-5,4,3.0
FED014,empty,-5,5,6.0
FED014,empty,-5,6,3.0
FED014,empty,-5,7,4.0
FED014,empty,-5,8,6.0
FED014,empty,-5,9,3.0
FED014,empty,-5,10,10.0
FED014,empty,-5,11,12.0
FED014,empty,-5,12,6.0
FED014,empty,-5,13,18.0
FED014,empty,-5,14,19.0
FED014,empty,-5,15,23.0
FED014,empty,-5,16,33.0
FED014,empty,-5,17,7.0
FED014,empty,-5,18,8.0
FED014,empty,-5,19,20.0
FED014,empty,-5,20,10.0
FED014,empty,-5,21,10.0
FED014,empty,-5,22,10.0
FED014,empty,-5,23,4.0
FED014,empty,-4,1,8.0
FED014,empty,-4,2,11.0
FED014,empty,-4,3,6.0
FED014,empty,-4,4,5.0
FED014,empty,-4,5,7.0
FED014,empty,-4,6,7.0
FED014,empty,-4,7,10.0
FED014,empty,-4,8,5.0
FED014,empty,-4,9,8.0
FED014,empty,-4,10,7.0
FED014,empty,-4,11,15.0
FED014,empty,-4,12,7.0
FED014,empty,-4,13,19.0
FED014,empty,-4,14,24.0
FED014,empty,-4,15,22.0
FED014,empty,-4,16,19.0
FED014,empty,-4,17,12.0
FED014,empty,-4,18,5.0
FED014,empty,-4,19,18.0
FED014,empty,-4,21,18.0
FED014,empty,-4,22,8.0
FED014,empty,-3,0,14.0
FED014,empty,-3,1,15.0
FED014,empty,-3,2,8.0
FED014,empty,-3,4,12.0
FED014,empty,-3,5,1.0
FED014,empty,-3,6,6.0
FED014,empty,-3,7,9.0
FED014,empty,-3,9,11.0
FED014,empty,-3,10,12.0
FED014,empty,-3,11,20.0
FED014,empty,-3,12,20.0
FED014,empty,-3,13,45.0
FED014,empty,-3,14,22.0
FED014,empty,-3,15,31.0
FED014,empty,-3,16,40.0
FED014,empty,-3,17,28.0
FED014,empty,-3,18,12.0
FED014,empty,-3,19,13.0
FED014,empty,-3,20,23.0
FED014,empty,-3,22,24.0
FED014,empty,-2,0,27.0
FED014,empty,-2,2,13.0
FED014,empty,-2,3,12.0
FED014,empty,-2,4,2.0
FED014,empty,-2,5,4.0
FED014,empty,-2,6,1.0
FED014,empty,-2,7,12.0
FED014,empty,-2,8,22.0
FED014,empty,-2,9,10.0
FED014,empty,-2,10,17.0
FED014,empty,-2,11,29.0
FED014,empty,-2,12,8.0
FED014,empty,-2,13,38.0
FED014,empty,-2,14,32.0
FED014,empty,-2,15,40.0
FED014,empty,-2,16,20.0
FED014,empty,-2,17,21.0
FED014,empty,-2,19,26.0
FED014,empty,-2,20,5.0
FED014,empty,-2,21,17.0
FED014,empty,-2,23,28.0
FED015,empty,-5,0,4.0
FED015,empty,-5,1,5.0
FED015,empty,-5,2,8.0
FED015,empty,-5,3,7.0
FED015,empty,-5,5,6.0
FED015,empty,-5,6,4.0
FED015,empty,-5,7,2.0
FED015,empty,-5,8,7.0
FED015,empty,-5,9,7.0
FED015,empty,-5,10,12.0
FED015,empty,-5,11,2.0
FED015,empty,-5,12,13.0
FED015,empty,-5,13,11.0
FED015,empty,-5,14,12.0
FED015,empty,-5,15,18.0
FED015,empty,-5,16,20.0
FED015,empty,-5,17,13.0
FED015,empty,-5,18,9.0
FED015,empty,-5,19,3.0
FED015,empty,-5,20,15.0
FED015,empty,-5,21,4.0
