Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2025-01-13 07:00:00,0.0244,1.49,0.0244,0.0244,13.6,0.253,20.9,3.21,7,2025-01-13,8,15
2025-01-13 08:00:00,1.16,0.462,0.0244,0.956,0.205,3.07,0.373,0.0244,8,2025-01-13,8,16
2025-01-13 09:00:00,0.163,1.4,2.96,21.1,0.186,0.0244,0.0244,0.56,9,2025-01-13,8,17
2025-01-13 10:00:00,0.123,0.0967,0.0244,12.7,4.37,0.0244,3.16,0.141,10,2025-01-13,8,18
2025-01-13 11:00:00,13.1,5.4,7.11,6.73,11.6,8.62,5.72,12.4,11,2025-01-13,8,19
2025-01-13 12:00:00,0.0266,0.717,0.053,0.0244,0.656,0.0244,10.7,0.0244,12,2025-01-13,8,20
2025-01-13 13:00:00,0.0642,0.362,5.27,9.95,1.82,4.37,12.2,0.0244,13,2025-01-13,8,21
2025-01-13 14:00:00,0.209,0.611,1.0,4.88,21.4,0.0244,0.364,0.614,14,2025-01-13,8,22
2025-01-13 15:00:00,9.7,1.04,3.97,0.183,2.15,4.78,7.45,7.0,15,2025-01-13,8,23
2025-01-13 16:00:00,6.17,6.49,5.2,33.6,12.9,17.2,10.7,22.9,16,2025-01-13,9,0
2025-01-13 17:00:00,1.04,1.19,1.63,3.99,5.26,8.46,5.54,5.89,17,2025-01-13,9,1
2025-01-13 18:00:00,10.6,8.59,5.97,13.0,24.2,12.8,7.98,8.75,18,2025-01-13,9,2
2025-01-13 19:00:00,5.62,1.01,7.85,15.1,13.3,17.6,28.6,30.4,19,2025-01-13,9,3
2025-01-13 20:00:00,9.46,2.18,2.38,1.69,38.3,13.0,8.93,3.74,20,2025-01-13,9,4
2025-01-13 21:00:00,8.48,8.69,17.5,62.9,27.2,6.56,24.1,33.9,21,2025-01-13,9,5
2025-01-13 22:00:00,2.86,30.7,14.5,44.9,27.9,10.8,18.3,25.4,22,2025-01-13,9,6
